Year,Region,Agency Name,City,County,State,Attendance,Rescues - Total,Rescue - Rip,Rescue - Surf,Rescue - Swift,Rescues - Scuba,Primary Cause of Rescue - Others,Rescue - Cliff,Boat Rescues - Rescues,Boat Rescues - Passengers,Boat Rescues - Value,Boat Assists - Rescues,Boat Assists - Passengers,Boat Assists - Value,Prevents,Medical Aids - Total,Medical Aids - Major,Medical Aids - Minor,Drowning Deaths (Unguarded) - Total,Drowning Deaths (Unguarded) - Rip,Drowning Deaths (Unguarded) - Surf,Drowning Deaths (Unguarded) - Scuba,Drowning Deaths (Unguarded) - Drop-Off,Drowning Deaths (Unguarded) - Alc/Drugs,Drowning Deaths (Unguarded) - Ability,Drowning Deaths (Unguarded) - Floatation,Drowning Deaths (Unguarded) - Other,Drowning Deaths (Guarded) - Total,Drowning Deaths (Guarded) - Rip,Drowning Deaths (Guarded) - Surf,Drowning Deaths (Guarded) - Scuba,Drowning Deaths (Guarded) - Drop-Off,Drowning Deaths (Guarded) - Alc/Drugs,Drowning Deaths (Guarded) - Ability,Drowning Deaths (Guarded) - Floatation,Drowning Deaths (Guarded) - Other,Other Fatalities,Enforcements - Total,Enforcements - Warnings,Enforcements - Boat/PWC,Enforcements - Citations,Enforcements - Arrests,Lost/Found Persons,Public Education - Lectures,Public Education - Students,Demographics - Miles Guarded,Demographics - Miles Not Guarded,Demographics - Full-Time Employees,Demographics - Part-Time Employees,Demographics - Jr. Guards,Demographics - Agency Water Is,Demographics - Agency Coverage,Demographics - Avg. Weekday Towers Staffed,Demographics - Avg. Weekend Towers Staffed,Demographics - Avg. Distance Between Tower (yards),Demographics - # Rescue Vehicles,Demographics - Boat < 15,Demographics - Boat 15+,Demographics - PWC,Demographics - Non Motorized Rescue Craft
2022,Southwest,Los Angeles County Lifeguards - Lakes,Los Angeles County Lifeguards,Los Angeles County,California,"407,571",195,0,0,0,0,,0,361,"1,444","5,415,000","4,865","19,460","72,975,000","68,360",281,94,187,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"71,161","30,191","15,000",26,0,65,7,350,2,41,27,103,690,Lake,Year Round,5,10,50,17,5,12,0,244
2021,Mid-Atlantic,"Alliance Beach Patrol, Medford, New Jersey",Medford,Burlington County,New Jersey,800,12,0,0,0,0,12,0,0,0,0,2,0,0,28,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,110,0,0,0,0,6,200,0,0,2,8,0,Lake,Seasonal,2,1,25,2,2,0,0,4
2020,Mid-Atlantic,"Alliance Beach Patrol, Medford, New Jersey",Medford,Burlington County,New Jersey,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,"Ocean, Lake",Seasonal,0,1,25,0,0,0,0,0
2019,Mid-Atlantic,"Alliance Beach Patrol, Medford, New Jersey",Medford,Burlington County,New Jersey,"2,200",6,0,6,0,0,,0,0,0,0,2,4,"1,000",64,64,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,0,0,0,0,22,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mid-Atlantic,"Alliance Beach Patrol, Medford, New Jersey",Medford,Burlington County,New Jersey,"3,000",9,0,0,0,0,,0,0,0,0,12,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mid-Atlantic,"Alliance Beach Patrol, Medford, New Jersey",Medford,Burlington County,New Jersey,"1,500",6,0,6,0,0,,0,0,0,0,0,0,0,36,23,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,58,12,0,0,2,0,0,1,0,1,4,-,Ocean & Lake,Seasonal,2,4,50,1,0,0,2,2
2016,Mid-Atlantic,"Alliance Beach Patrol, Medford, New Jersey",Medford,Burlington County,New Jersey,"1,500",6,0,6,0,0,,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,70,0,0,6,12,-,Ocean & Lake,Seasonal,2,2,250,1,0,0,1,1
2015,Mid-Atlantic,"Alliance Beach Patrol, Medford, New Jersey",Medford,Burlington County,New Jersey,0,11,0,0,0,0,,0,0,0,0,0,0,0,9,105,2,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Mid-Atlantic,"Alliance Beach Patrol, Medford, New Jersey",Medford,Burlington County,New Jersey,0,3,0,0,0,0,,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Mid-Atlantic,"Alliance Beach Patrol, Medford, New Jersey",Medford,Burlington County,New Jersey,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Pacific Islands. Guam and other US Territory Islands,"Aloha Surf Lifesaving, Hawaii",Honolulu,Honolulu County,Hawaii,"140,000",74,22,36,16,0,,0,0,0,0,0,0,0,"110,000",120,20,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,"5,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Pacific Islands. Guam and other US Territory Islands,"Aloha Surf Lifesaving, Hawaii",Honolulu,Honolulu County,Hawaii,"110,650",15,10,5,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Pacific Islands. Guam and other US Territory Islands,"Aloha Surf Lifesaving, Hawaii",Honolulu,Honolulu County,Hawaii,"129,545",67,10,43,14,0,,0,0,0,0,0,0,0,"100,000",96,10,86,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,800,800,0,0,0,0,125,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Pacific Islands. Guam and other US Territory Islands,"Aloha Surf Lifesaving, Hawaii",Honolulu,Honolulu County,Hawaii,"131,579",52,0,12,40,0,,0,0,0,0,0,0,0,"99,500",121,15,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,"1,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Pacific Islands. Guam and other US Territory Islands,"Aloha Surf Lifesaving, Hawaii",Honolulu,Honolulu County,Hawaii,"129,678",46,11,0,35,0,,0,0,0,0,0,0,0,"98,500",128,16,112,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,"1,000",0,0,0,25,-,Lake,Year Round,0,0,0,0,0,0,2,20
2010,Pacific Islands. Guam and other US Territory Islands,"Aloha Surf Lifesaving, Hawaii",Honolulu,Honolulu County,Hawaii,"137,145",34,0,0,34,0,,0,0,0,0,0,0,0,"97,500",137,10,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,"2,500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Pacific Islands. Guam and other US Territory Islands,"Aloha Surf Lifesaving, Hawaii",Honolulu,Honolulu County,Hawaii,"132,157",27,0,0,27,0,,0,0,0,0,0,0,0,"98,000",141,9,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,125,0,0,0,0,100,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Pacific Islands. Guam and other US Territory Islands,"Aloha Surf Lifesaving, Hawaii",Honolulu,Honolulu County,Hawaii,"128,149",23,0,0,23,0,,0,0,0,0,0,0,0,"100,000",138,11,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,0,0,0,7,100,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,Southwest,"Long Beach Marine Safety, City of, California",Long Beach - CA,Los Angeles County,California,"2,867,347","5,772",0,0,0,0,0,0,337,825,"10,042,820",903,"1,596","23,134,310","404,777","8,526",195,"8,331",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"395,190","351,975","8,335",83,43,272,115,373,9,0,25,182,895,Ocean,Year Round,39,40,400,8,2,7,4,2
2021,Northwest,"American Medical Response, Oregon",Milwaukie,Clackamas County,Oregon,"73,203",212,0,0,212,0,0,0,0,0,0,4,4,100,763,21,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,4,0,0,2,0,10,11,0,River,Seasonal,2,4,40,0,0,0,0,6
2019,Northwest,"American Medical Response, Oregon",Milwaukie,Clackamas County,Oregon,"54,777",102,0,0,102,0,0,0,0,0,0,3,3,100,953,19,8,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,16,14,0,0,0,0,0,0,2,0,12,13,0,River,Seasonal,2,4,40,0,0,0,0,6
2018,Northwest,"American Medical Response, Oregon",Milwaukie,Clackamas County,Oregon,"60,990",104,0,0,104,0,0,0,0,0,0,13,13,100,"2,417",37,3,34,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,34,21,0,0,0,2,0,0,2,0,10,10,0,River,Seasonal,2,4,40,0,0,0,0,6
2017,Northwest,"American Medical Response, Oregon",Milwaukie,Clackamas County,Oregon,"64,273",176,0,0,176,0,,0,0,0,0,18,18,"14,000","3,551",26,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,0,0,2,0,0,3,2,8,11,-,River,Seasonal,3,4,100,2,0,0,0,3
2016,Northwest,"American Medical Response, Oregon",Milwaukie,Clackamas County,Oregon,"63,179",149,0,0,149,0,,0,0,0,0,16,16,"10,000","1,061",28,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,0,0,0,6,0,0,3,2,8,14,-,River,Seasonal,3,4,100,2,0,0,0,3
2015,Northwest,"American Medical Response, Oregon",Milwaukie,Clackamas County,Oregon,"75,570",120,0,0,120,0,,0,0,0,0,18,18,"10,000",934,27,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,0,0,0,2,5,"7,160",3,2,8,10,-,River,Seasonal,3,4,100,2,0,0,0,3
2014,Northwest,"American Medical Response, Oregon",Milwaukie,Clackamas County,Oregon,"63,159",100,0,0,100,0,,0,0,0,0,1,2,"5,000","2,009",50,15,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,178,0,0,0,8,12,209,3,2,8,13,-,River,Seasonal,3,4,100,2,0,0,0,3
2013,Northwest,"American Medical Response, Oregon",Milwaukie,Clackamas County,Oregon,"43,330",5,0,0,2,0,,0,0,0,0,5,5,0,592,47,6,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,141,141,0,0,0,0,10,162,2,0,8,10,-,River,Seasonal,4,6,0,0,0,0,0,2
2012,Northwest,"American Medical Response, Oregon",Milwaukie,Clackamas County,Oregon,"53,102",4,0,0,4,0,,0,0,0,0,6,6,"1,200","3,369",63,9,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,118,0,0,0,16,9,189,2,1,10,12,-,River,Seasonal,4,6,250,2,0,0,0,6
2011,Northwest,"American Medical Response, Oregon",Milwaukie,Clackamas County,Oregon,"43,238",7,0,0,6,1,,0,0,0,0,85,98,"3,000","3,470",65,13,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,109,7,0,0,5,16,"10,132",2,1,9,12,-,River,Seasonal,2,3,50,2,0,0,0,6
2010,Northwest,"American Medical Response, Oregon",Milwaukie,Clackamas County,Oregon,"49,302",4,0,0,3,0,,0,0,0,0,2,3,"1,250","2,744",61,6,55,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,58,58,0,0,0,5,11,"5,721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,Northwest,"American Medical Response, Oregon",Milwaukie,Clackamas County,Oregon,"70,150",3,0,0,3,0,,0,3,13,"2,500",2,3,750,"2,991",76,7,69,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,145,145,0,0,0,2,10,"5,250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,Northwest,"American Medical Response, Oregon",Milwaukie,Clackamas County,Oregon,"48,501",136,0,0,119,0,,0,2,5,0,12,18,0,"2,000",53,5,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,3,0,2,0,7,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,Northwest,"American Medical Response, Oregon",Milwaukie,Clackamas County,Oregon,"43,009",64,0,0,64,0,,0,0,0,0,0,0,0,"1,030",32,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,"1,030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,Northwest,"American Medical Response, Oregon",Milwaukie,Clackamas County,Oregon,"45,990",6,0,0,6,0,,0,0,0,0,7,0,0,"1,570",26,4,22,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,0,0,0,0,5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,Northwest,"American Medical Response, Oregon",Milwaukie,Clackamas County,Oregon,"45,388",6,0,0,6,0,,0,0,0,0,3,0,0,"1,752",49,10,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Northwest,"American Medical Response, Oregon",Milwaukie,Clackamas County,Oregon,"71,335",77,0,0,77,0,0,0,7,7,"1,400",0,0,0,842,46,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,3,0,2,0,10,14,0,River,Seasonal,4,4,75,0,0,0,0,6
2019,Southwest,"Aptos La Selva Fire Protection Dist., California",Aptos,Santa Cruz County,California,"6,500,000",5,5,5,0,0,,0,0,0,$0,2,0,"$300,000",0,14,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Southwest,"Aptos La Selva Fire Protection Dist., California",Aptos,Santa Cruz County,California,"6,500",18,18,18,0,0,,0,0,0,$0,0,0,$0,50,54,10,44,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Southwest,"Aptos La Selva Fire Protection Dist., California",Aptos,Santa Cruz County,California,"6,400,000",16,16,16,0,0,,0,0,0,$0,0,0,$0,20,42,9,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Southwest,"Aptos La Selva Fire Protection Dist., California",Aptos,Santa Cruz County,California,"6,400,000",21,17,0,0,0,,4,0,0,$0,0,0,$0,50,80,50,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,500,10,7,30,0,-,Ocean,Year Round,0,0,0,3,0,0,0,0
2015,Southwest,"Aptos La Selva Fire Protection Dist., California",Aptos,Santa Cruz County,California,"1,300,000",14,14,14,0,0,,0,0,0,$0,0,0,$0,0,35,5,30,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,5,12,0,-,Ocean,Year Round,0,0,0,0,0,0,0,0
2014,Southwest,"Aptos La Selva Fire Protection Dist., California",Aptos,Santa Cruz County,California,"3,000,000",8,8,0,0,0,,4,0,0,$0,0,0,$0,0,44,4,40,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,Mid-Atlantic,"AquaServe, New Jersey",AquaServe,Ocean County,New Jersey,0,0,0,0,0,0,,0,0,0,0,0,0,0,450,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,Mid-Atlantic,"AquaServe, New Jersey",AquaServe,Ocean County,New Jersey,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Mid-Atlantic,"AquaServe, New Jersey",AquaServe,Ocean County,New Jersey,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Mid-Atlantic,"AquaServe, New Jersey",AquaServe,Ocean County,New Jersey,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Mid-Atlantic,"AquaServe, New Jersey",AquaServe,Ocean County,New Jersey,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,Mid-Atlantic,"AquaServe, New Jersey",AquaServe,Ocean County,New Jersey,0,34,0,0,0,0,,0,0,0,0,0,0,0,"10,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Mid-Atlantic,"Assateague State Park, Berlin, Maryland",Berlin,Maryland Park Service,Maryland,"1,506,369",110,100,10,0,0,0,0,0,1,0,0,0,0,"3,000",49,10,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,100,1,2,9,5,0,Ocean,Seasonal,3,3,66,3,0,0,0,5
2022,Southwest,California State Parks,California State Parks,California State Parks,California,"36,442,364","11,423","7,026","2,019",29,10,"2,274",18,260,619,"1,659,722","1,520",0,0,"739,326","15,586","1,418","14,168",24,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0,0,4,92,"423,491","410,985","7,170","4,675",661,238,"5,801","160,430",373,"1,000",90,"1,000","6,871","Ocean, Lake, Bay, Open Water, River",Year Round,100,150,250,95,20,4,25,0
2021,Mid-Atlantic,"Assateague State Park, Berlin, Maryland",Berlin,Maryland Park Service,Maryland,"1,536,073",45,40,5,0,0,0,0,0,0,0,0,0,0,"1,400",16,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,2,5,2,0,Ocean,Seasonal,3,3,66,3,0,0,0,0
2020,Mid-Atlantic,"Assateague State Park, Berlin, Maryland",Berlin,Maryland Park Service,Maryland,"1,195,996",43,43,0,0,0,,0,1,1,0,0,0,0,"3,932",65,33,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,10,12,-,Ocean,Seasonal,3,5,40,4,0,0,0,5
2019,Mid-Atlantic,"Assateague State Park, Berlin, Maryland",Berlin,Maryland Park Service,Maryland,1,28,25,3,0,0,,0,0,0,0,0,0,0,"1,800",53,24,29,0,25,0,0,0,0,0,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Mid-Atlantic,"Assateague State Park, Berlin, Maryland",Berlin,Maryland Park Service,Maryland,"1,078",72,65,7,0,0,,0,0,0,0,0,0,0,"1,800",65,27,38,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mid-Atlantic,"Assateague State Park, Berlin, Maryland",Berlin,Maryland Park Service,Maryland,"1,500,000",22,18,4,0,0,,0,0,0,0,0,0,0,"1,400",18,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,2,2,0,27,31,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,Mid-Atlantic,"Atlantic Beach Lifeguards, New York",Atlantic Beach - NY,Nassau County,New York,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,Mid-Atlantic,"Atlantic Beach Lifeguards, New York",Atlantic Beach - NY,Nassau County,New York,"21,000",10,4,6,0,0,,0,0,0,0,0,0,0,275,130,5,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,5,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,Mid-Atlantic,"Atlantic Beach Lifeguards, New York",Atlantic Beach - NY,Nassau County,New York,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,Mid-Atlantic,"Atlantic Beach Lifeguards, New York",Atlantic Beach - NY,Nassau County,New York,"36,000",95,75,20,0,0,,0,0,0,0,0,0,0,"2,250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,3,2,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,Mid-Atlantic,"Atlantic Beach Lifeguards, New York",Atlantic Beach - NY,Nassau County,New York,"24,000",47,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,Mid-Atlantic,"Atlantic Beach Lifeguards, New York",Atlantic Beach - NY,Nassau County,New York,"25,000",52,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,Mid-Atlantic,"Atlantic Beach Lifeguards, New York",Atlantic Beach - NY,Nassau County,New York,"20,000",40,0,0,0,0,,0,0,0,0,0,0,0,"3,500",150,150,0,11,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,South-Atlantic,"Kill Devil Hills Ocean Rescue, North Carolina",Kill Devil Hills,Dare County,North Carolina,"1,650,000",654,286,13,0,0,240,0,97,115,"85,000",0,0,0,486,282,44,238,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,16,2,14,6,19,6,750,5,0,50,7,56,Ocean,Year Round,21,21,400,7,2,1,4,35
2021,South-Atlantic,"Atlantic Beach Ocean Rescue, Florida",Atlantic Beach - FL,Duval County,Florida,"90,000",8,8,0,0,0,,0,0,0,$0,0,0,$0,75,24,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,South-Atlantic,"Atlantic Beach Ocean Rescue, Florida",Atlantic Beach - FL,Duval County,Florida,"90,000",5,5,0,0,0,,0,0,0,$0,0,0,$0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,South-Atlantic,"Atlantic Beach Ocean Rescue, Florida",Atlantic Beach - FL,Duval County,Florida,"170,000",3,0,3,0,0,,0,1,1,"15,000",1,4,"10,000",40,57,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,4,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,South-Atlantic,"Atlantic Beach Ocean Rescue, Florida",Atlantic Beach - FL,Duval County,Florida,"170,000",8,0,8,0,0,,0,0,0,0,0,0,0,55,53,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,South-Atlantic,"Atlantic Beach Ocean Rescue, Florida",Atlantic Beach - FL,Duval County,Florida,"170,000",0,0,5,0,0,,0,0,0,0,1,2,"250,000",70,80,3,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,South-Atlantic,"Atlantic Beach Ocean Rescue, Florida",Atlantic Beach - FL,Duval County,Florida,"152,746",14,3,11,0,0,,0,0,0,0,4,12,"10,000",89,146,5,141,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,200,2,0,1,40,-,Ocean,Seasonal,8,10,300,2,0,0,1,0
2015,South-Atlantic,"Atlantic Beach Ocean Rescue, Florida",Atlantic Beach - FL,Duval County,Florida,"136,435",8,8,0,0,0,,0,4,8,0,0,0,0,75,88,6,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,South-Atlantic,"Atlantic Beach Ocean Rescue, Florida",Atlantic Beach - FL,Duval County,Florida,"172,522",13,13,0,0,0,,0,3,15,"200,000",0,0,0,340,102,3,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,5,0,1,5,5,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,South-Atlantic,"Atlantic Beach Ocean Rescue, Florida",Atlantic Beach - FL,Duval County,Florida,"170,263",30,24,6,0,0,,0,2,2,"200,000",0,0,0,152,39,5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,South-Atlantic,"Atlantic Beach Ocean Rescue, Florida",Atlantic Beach - FL,Duval County,Florida,"170,100",42,30,12,0,0,,0,0,0,0,3,12,0,322,115,5,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
